table,state_hex,file_offset,first_8_8,second_8_8
not_selected_by_4141,05,04531,40,-40
not_selected_by_4141,06,04535,40,-40
not_selected_by_4141,07,04539,40,-40
not_selected_by_4141,08,0453D,40,-40
not_selected_by_4141,09,04541,10,-10
not_selected_by_4141,0A,04545,32,-32
not_selected_by_4141,0B,04549,32,-32
not_selected_by_4141,0C,0454D,40,-40
not_selected_by_4141,0D,04551,40,-40
not_selected_by_4141,0E,04555,32,-32
not_selected_by_4141,0F,04559,0,0
not_selected_by_4141,10,0455D,10,-10
not_selected_by_4141,11,04561,40,-40
not_selected_by_4141,12,04565,40,-40
not_selected_by_4141,13,04569,0,0
not_selected_by_4141,14,0456D,0,0
not_selected_by_4141,15,04571,0,0
not_selected_by_4141,16,04575,40,-40
not_selected_by_4141,17,04579,0,0
not_selected_by_4141,18,0457D,0,0
not_selected_by_4141,19,04581,0,0
not_selected_by_4141,1A,04585,40,-40
not_selected_by_4141,1B,04589,5,-5
not_selected_by_4141,1C,0458D,0,0
not_selected_by_4141,1D,04591,0,0
not_selected_by_4141,1E,04595,0,0
not_selected_by_4141,1F,04599,0,0
