tile_hex,plane,header_file,flags_hex,modifier_offset,vertical_file,horizontal_file,vertical_min,vertical_max
DE,0,38882,00,0,38970,39210,0,0
DF,0,38889,00,0,38970,39210,0,0
E0,0,38890,00,0,38970,39210,0,0
E1,0,38897,00,0,38970,39210,0,0
E2,0,3889E,00,0,38970,39210,0,0
E3,0,388A5,00,0,38970,39210,0,0
E4,0,388AC,00,0,38970,39210,0,0
E5,0,388B3,00,0,38970,39210,0,0
E6,0,388BA,00,0,38970,39210,0,0
E7,0,388C1,00,0,38970,39210,0,0
E8,0,388C8,00,0,38970,39210,0,0
E9,0,388CF,00,0,38970,39210,0,0
EA,0,388D6,00,0,38970,39210,0,0
EB,0,388DD,00,0,38970,39210,0,0
EC,0,388E4,00,0,38970,39210,0,0
ED,0,388EB,00,0,38970,39210,0,0
EE,0,388F2,00,0,38970,39210,0,0
EF,0,388F9,00,0,38970,39210,0,0
F0,0,38900,00,0,38970,39210,0,0
F1,0,38907,00,0,38970,39210,0,0
F2,0,3890E,00,0,38970,39210,0,0
F3,0,38915,00,0,38970,39210,0,0
F4,0,3891C,81,0,38990,39230,32,32
F5,0,38923,81,0,38990,39230,32,32
F6,0,3892A,81,0,38990,39230,32,32
F7,0,38931,81,0,38990,39230,32,32
F8,0,38938,41,0,38990,39230,32,32
F9,0,3893F,41,0,38990,39230,32,32
FA,0,38946,41,0,38990,39230,32,32
FB,0,3894D,41,0,38990,39230,32,32
FC,0,38954,00,0,38970,39210,0,0
FD,0,3895B,00,0,38970,39210,0,0
FE,0,38962,00,0,38970,39210,0,0
FF,0,38969,00,0,38970,39210,0,0
